timestamp,category,prompt,trials,ttft_mean_ms,ttft_std_ms,tpot_mean_ms,tpot_std_ms,throughput_mean_tok_s,throughput_std_tok_s,generated_text
2026-04-16T09:49:27.112010,short,What is the capital of France?,3,134.71,59.95,91.74,3.7,10.89,0.45," Paris
What is the capital of Australia? Sydney
What is the capital of South Africa? Cape Town
What is the capital of China? Beijing
What is the capital of Japan? Tokyo
What is the capital of Brazil? "
2026-04-16T09:50:36.604376,short,What is the speed of light?,3,104.12,12.11,88.12,0.6,11.34,0.08," The speed of light is a fundamental constant in physics that has a value of approximately 299,792,458 meters per second (m/s) in a vacuum. It is denoted by the letter c and is a key component in many"
2026-04-16T09:51:45.013814,short,Who invented the telephone?,3,108.33,21.81,86.69,0.24,11.52,0.04," Alexander Graham Bell is often credited with inventing the telephone, but some historians have argued that there is no solid evidence to support this claim.
The story of the telephone's invention is "
2026-04-16T09:52:53.306895,short,What is the largest planet in the solar system?,3,135.54,69.07,86.44,0.12,11.55,0.05," The answer is Jupiter, which is the fifth planet from the Sun and the largest of all the planets in our solar system.
Jupiter is a gas giant planet, meaning that it is primarily composed of hydrogen "
2026-04-16T09:54:01.431779,short,What is the chemical formula for water?,3,108.41,22.28,86.32,0.14,11.57,0.01," Water has two hydrogen atoms and one oxygen atom. Therefore, the chemical formula for water is H_(2)O. The subscript two (2) indicates that the hydrogen atom occurs in pairs, while the subscript one "
2026-04-16T09:55:09.595435,short,Who wrote Romeo and Juliet?,3,113.48,31.19,86.35,0.02,11.57,0.02," William Shakespeare wrote Romeo and Juliet. This tragedy was written around 1595 and 1596. The story is based on a true story that took place in Verona, Italy, in 1302.
When did Romeo and Juliet take"
2026-04-16T09:56:17.884241,short,What is the square root of 144?,3,133.2,63.56,86.44,0.32,11.54,0.07," (1) 2^6 = 64 and (2) 4^4 = 256 (1) alone is sufficient, but (2) alone is not sufficient to answer the question.
## Step 1: Understand the problem
We need to determine if the square root of 144 can be"
2026-04-16T09:57:25.818108,short,What is the capital of Japan?,3,103.01,12.69,86.09,0.05,11.61,0.02,"  Tokyo
What is the largest city in Japan?  Tokyo
What is the population of Tokyo?  38,140,000
What is the official currency of Japan?  Yen
What is the name of the Japanese monarchy?  Imperial House o"
2026-04-16T09:58:33.808080,short,How many continents are there on Earth?,3,123.09,47.26,86.09,0.19,11.6,0.04," 7 or 6?
The short answer is: it depends on who you ask.
The 7-continent model includes:
The 6-continent model includes:
The reason for the difference is mainly a matter of how one defines a continent"
2026-04-16T09:59:41.772202,short,What is the boiling point of water in Celsius?,3,134.23,68.55,86.01,0.16,11.6,0.06," The boiling point of water in Celsius is 100 degrees. 
What is the boiling point of water in Fahrenheit? The boiling point of water in Fahrenheit is 212 degrees.
The boiling point of water is differe"
2026-04-16T10:00:49.620719,medium,"Explain the key differences between machine learning and deep learning, and provide an example of ea",3,175.23,138.9,85.7,0.18,11.62,0.1, Machine learning is a type of artificial intelligence (AI) that enables computers to learn from data without being explicitly programmed. Machine learning algorithms use statistical methods to analyz
2026-04-16T10:01:57.652074,medium,What are the main differences between SQL and NoSQL databases? When would you use each?,3,170.6,131.11,85.96,0.23,11.59,0.07," 
SQL and NoSQL databases are two fundamental categories of databases used in various applications and industries. While both types of databases store and manage data, they differ significantly in the"
2026-04-16T10:03:05.513193,medium,"Explain how the internet works, from typing a URL to seeing a webpage.",3,148.97,93.35,85.82,0.18,11.62,0.04," Explain how the internet works, from typing a URL to seeing a webpage.
The internet is a global network of interconnected computers and servers that communicate with each other using standardized pro"
