timestamp,category,prompt,trials,ttft_mean_ms,ttft_std_ms,tpot_mean_ms,tpot_std_ms,throughput_mean_tok_s,throughput_std_tok_s,generated_text
2026-04-15T14:44:36.961783,short,What is the capital of France?,3,42.24,8.77,31.87,0.55,31.32,0.47," The capital of France is Paris. It is located in the northwestern part of the country and is the largest city in the country. Paris is a major center for culture, politics, and finance, and is home t"
2026-04-15T14:44:53.183726,short,What is the speed of light?,3,36.9,3.81,30.09,1.26,33.17,1.29," What is it's speed in a vacuum and what is the units of speed? What is the speed of light? What is it's speed in a vacuum and what is the units of speed? What is the speed of light?

What is the spee"
2026-04-15T14:45:10.999210,short,Who invented the telephone?,3,37.97,4.13,29.39,0.89,33.99,1.01," Alexander Graham Bell is the person who invented the telephone. Bell invented the first practical telephone in 1876, which was a significant invention that revolutionized communication in the 20th ce"
2026-04-15T14:45:31.285221,short,What is the largest planet in the solar system?,3,42.65,14.55,29.29,0.58,34.04,0.53," The largest planet in the solar system is Jupiter. It has a diameter of about 86,881 miles (139,822 kilometers) and is about 318 times more massive than Earth. Jupiter is a gas giant and is composed "
2026-04-15T14:45:41.399109,short,What is the chemical formula for water?,3,36.51,5.61,26.57,2.11,37.32,2.49," To determine the chemical formula for water, let's go through the steps:

1. **Identify the elements in water:**
   Water is made up of hydrogen and oxygen atoms.

2. **Determine the number of each e"
2026-04-15T14:46:01.376984,short,Who wrote Romeo and Juliet?,3,37.3,5.78,28.56,0.71,34.96,0.8," William Shakespeare wrote Romeo and Juliet. 

However, if I were to ask ""Who is the author of Romeo and Juliet?"", what would be the most appropriate response? If I were to ask ""Who is the author of R"
2026-04-15T14:46:17.057548,short,What is the square root of 144?,3,49.94,29.17,28.33,0.58,35.08,0.59," To find the square root of 144, we can use the square root function available in most calculators or mathematical software. Here, I will use a calculator to find the square root of 144.

1. Press the"
2026-04-15T14:46:40.808226,short,What is the capital of Japan?,3,44.92,17.81,28.79,0.25,34.66,0.32," Tokyo, the capital of Japan, is also one of the most populous cities in the world and is considered one of the most expensive cities in the world. Tokyo is also a global center for finance, media, fa"
2026-04-15T14:46:58.629431,short,How many continents are there on Earth?,3,39.88,9.72,28.08,0.57,35.51,0.6," There are seven continents on Earth: Asia, Africa, North America, South America, Antarctica, Europe, and Australia. Each continent has its own unique characteristics and features, as well as a rich c"
2026-04-15T14:47:07.478739,short,What is the boiling point of water in Celsius?,3,41.59,15.64,26.58,1.83,37.32,2.33," To determine the boiling point of water in Celsius, we need to follow these steps:

1. **Recall the standard temperature scale**: The standard temperature scale for most scientific and everyday purpo"
2026-04-15T14:47:28.182739,medium,"Explain the key differences between machine learning and deep learning, and provide an example of ea",3,51.48,28.04,28.38,0.65,35.13,0.9, Machine learning is a subset of artificial intelligence that involves training algorithms to learn from data and improve their performance over time. The goal is to enable the algorithm to make predi
2026-04-15T14:47:52.147104,medium,What are the main differences between SQL and NoSQL databases? When would you use each?,3,49.34,24.43,29.06,0.14,34.33,0.27," SQL stands for Structured Query Language, and is commonly used to query and manage data in a relational database. It provides a standard language for managing a relational database and is the primary"
2026-04-15T14:48:11.756826,medium,"Explain how the internet works, from typing a URL to seeing a webpage.",3,44.9,18.73,28.6,0.49,34.88,0.67," The internet is a vast network of computers and servers connected together through a series of physical connections such as cables and satellite links. It works like a giant web, where each computer "
2026-04-15T14:48:34.109442,medium,What is the difference between supervised and unsupervised learning in machine learning?,3,49.11,25.33,28.72,0.46,34.73,0.65," Supervised learning is a type of machine learning where the algorithm learns from labeled data, where the input and output pairs are labeled. This means that the algorithm is trained on a set of exam"
2026-04-15T14:48:57.964420,medium,Explain the concept of recursion in programming and provide a simple example.,3,48.14,22.26,28.92,0.32,34.5,0.43, Recursion is a fundamental concept in programming where a function calls itself repeatedly until a specific base condition is met. The base condition is a simple case of the problem that the function
2026-04-15T14:49:22.396812,medium,What are the main differences between TCP and UDP protocols?,3,45.61,16.38,30.27,0.47,32.97,0.56," TCP and UDP are two different protocols used in the Internet for data transfer and communication. The main differences between them are:

1. Port number: TCP uses port numbers to identify the communi"
2026-04-15T14:49:46.709222,medium,"Explain what an API is and how it works, with a real world example.",3,49.06,24.55,29.51,0.21,33.8,0.35," An API stands for Application Programming Interface and is a set of protocols, routines, and tools for building software. It allows different software applications to communicate with each other and "
2026-04-15T14:50:08.585418,medium,What is the difference between a process and a thread in operating systems?,3,48.39,22.06,29.17,0.25,34.2,0.36," Process and thread are two fundamental concepts in the field of computer science, particularly in operating systems. While both are related to the execution of instructions by a computer, they have d"
2026-04-15T14:50:31.646025,medium,Explain the concept of Big O notation and why it matters in programming.,3,49.16,24.12,29.25,0.05,34.09,0.1, Big O notation is a way of describing the performance or complexity of an algorithm. It provides a measure of how an algorithm scales with the size of the input data. Big O is commonly used in the an
2026-04-15T14:50:55.675735,medium,What are the main differences between relational and graph databases?,3,45.03,16.66,29.15,0.02,34.22,0.11," Relational databases are designed for tabular data, where each row represents a record with one or more fields, and each column represents a field. The main advantage of relational databases is their"
2026-04-15T14:51:20.907782,long,"The transformer architecture, introduced in the paper 'Attention is All You Need' by Vaswani et al. ",3,177.03,238.51,30.21,0.35,32.52,1.27," Additionally, what are the implications of quantisation for the training and inference performance of transformers on CPU?

Running large transformer models on CPU-only systems presents several chall"
2026-04-15T14:51:45.860193,long,"In distributed computing, consistency and availability are often in tension, as described by the CAP",3,144.9,187.47,29.97,0.29,32.9,1.05," The CAP theorem states that a distributed system cannot simultaneously achieve all three properties: consistency, availability, and partition tolerance. In other words, a system that is fully consist"
2026-04-15T14:52:11.255053,long,"Modern CPUs have multiple levels of cache memory (L1, L2, L3) designed to bridge the speed gap betwe",3,172.26,230.06,30.44,0.18,32.29,1.01," Additionally, provide a comparison between the CPU cache hierarchy, GPU cache hierarchy, and the memory hierarchy for LLM inference. The cache hierarchy is typically broken down into four levels: L1,"
2026-04-15T14:52:36.658811,long,"The MapReduce programming model, introduced by Google in 2004, revolutionised large scale data proce",3,174.81,235.69,30.44,0.39,32.29,1.3," MapReduce and Spark are two different programming models for processing large datasets. While both are used for big data processing, they have different strengths and weaknesses.
MapReduce is a batch"
2026-04-15T14:53:02.269714,long,Quantisation is a model compression technique that reduces the precision of neural network weights f,3,190.65,262.65,30.65,0.53,32.03,1.54," Additionally, provide a code snippet demonstrating quantization techniques and explain how the precision of neural network weights can be reduced using these techniques. The model being used is BERT."
